Mouse_ID,Microglial_Count,Dose,Sex
HH2639,6376,0,Female
HH2640,2650,0,Female
HH2641,3833,0,Female
HH2642,5837,0,Female
HH2649,7897,0,Male
HH2650,4095,0,Male
HH2651,7362,0,Male
HH2652,6440,0,Male
HH3030,3144,100,Female
HH3031,5450,100,Female
HH3032,7073,100,Female
HH3033,3982,100,Female
HH3412,2464,300,Female
HH3413,3163,300,Female
HH3414,720,300,Female
HH3415,5167,300,Female
HH4072,912,600,Female
HH4073,1986,600,Female
HH4075,2213,600,Female
HH4699,2294,900,Female
HH4700,652,900,Female
HH4701,1524,900,Female
HH4702,1106,900,Female
HH4717,2639,900,Male
HH4718,1432,900,Male
HH4719,1596,900,Male
HH4720,3236,900,Male
HH4721,697,1200,Female
HH4722,684,1200,Female
HH4723,703,1200,Female
HH4724,303,1200,Female
HH4725,438,1200,Male
HH4726,23,1200,Male
HH4727,1550,1200,Male
HH4728,496,1200,Male
